Postcode,Average net tax 1,Percentage of total Average Tax paid,Average Salary 1,Percentage of Total State Income,Average Net Tax ,Average Salary
3097,23688,0.255298208,65162,0.199852422,0.24476862,0.519267985
3099,15982,0.172246537,53876,0.165238161,0.134774044,0.361001262
3101,40110,0.43228686,75920,0.232847301,0.479174398,0.670130416
3102,26556,0.286208174,71402,0.218990556,0.285706129,0.606773244
3103,33969,0.366102028,70912,0.217487722,0.391518456,0.599901837
3104,24878,0.268123473,65778,0.201741699,0.261754546,0.527906324
3105,17950,0.193456722,59447,0.182324467,0.162865055,0.439124947
3106,25025,0.26970777,62148,0.190608457,0.263852808,0.477001823
3107,17350,0.186990202,58869,0.180551736,0.154300722,0.431019492
3108,16127,0.173809279,53870,0.165219759,0.136843758,0.360917122
3109,15835,0.17066224,56006,0.17177089,0.132675783,0.390870846
3111,22044,0.237579944,61948,0.189995056,0.221302349,0.474197167
3113,22477,0.242246616,63925,0.196058532,0.227482943,0.501921189
3114,33787,0.364140517,75066,0.230228076,0.388920609,0.658154537
3115,28014,0.301921817,62896,0.19290258,0.306517457,0.487491235
3116,13709,0.147749204,52760,0.16181538,0.102329498,0.345351283
3121,22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
3122,36514,0.39353085,72936,0.223695347,0.427845499,0.628284953
3123,34618,0.373096647,74284,0.227829675,0.400782209,0.647188333
3124,34686,0.373829519,79065,0.242493044,0.401752833,0.714233628
3125,17173,0.185082579,54188,0.166195068,0.151774244,0.365376525
3126,54251,0.584691958,88732,0.272141817,0.681021439,0.849796662
3127,30100,0.324403752,75335,0.231053101,0.336292786,0.661926798
3128,15733,0.169562931,53833,0.16510628,0.131219846,0.360398261
3129,17855,0.192432857,58747,0.180177561,0.161509035,0.429308652
3130,17976,0.193736938,60611,0.185894465,0.163236176,0.455448044
3131,13960,0.150454365,55353,0.169768133,0.105912244,0.381713645
3132,15362,0.165564466,58416,0.179162381,0.125924234,0.424666947
3133,16541,0.178271178,56668,0.17380125,0.142753147,0.400154256
3134,15490,0.166943991,56111,0.172092926,0.127751292,0.39234329
3135,14097,0.151930887,55887,0.171405916,0.107867767,0.389202075
3136,13380,0.144203395,53874,0.165232027,0.097633389,0.360973216
3137,12060,0.129977051,50052,0.15350992,0.078791858,0.307376245
3138,11904,0.128295756,51083,0.156672006,0.076565132,0.321834245
3139,12020,0.12954595,47224,0.144836419,0.078220903,0.267718413
3140,13430,0.144742272,51169,0.156935769,0.098347084,0.323040247
3141,38258,0.412326868,74971,0.22993671,0.452739159,0.656822325
3142,76598,0.825537494,87216,0.267492232,1,0.828537372
3143,39149,0.421929651,77491,0.237665572,0.465457193,0.692160987
3144,51062,0.550322405,87590,0.268639293,0.635502013,0.833782078
3145,32164,0.346648581,73229,0.224593981,0.365754089,0.632393774
3146,31675,0.341378367,77269,0.236984696,0.358774159,0.689047819
3147,24328,0.26219583,68153,0.209025845,0.253903908,0.561211611
3148,16738,0.180394352,53671,0.164609425,0.145565103,0.35812649
3149,18075,0.194803914,59540,0.182609699,0.164649291,0.440429112
3150,17920,0.193133396,57088,0.175089393,0.162436838,0.406044033
3151,13997,0.150853133,52931,0.162339838,0.106440378,0.347749264
3152,14114,0.152114105,54638,0.167575222,0.108110423,0.371687
3153,11230,0.121031699,50170,0.153871827,0.066944532,0.309030991
3154,12113,0.130548261,52499,0.16101489,0.079548374,0.341691207
3155,11200,0.120708373,50157,0.153831956,0.066516315,0.308848689
3156,13508,0.14558292,53239,0.163284477,0.099460447,0.352068434
