Postcode,Average net tax 1,Percentage of total Average Tax paid,Average Salary 1,Percentage of Total State Income,Average Net Tax ,Average Salary
3596,17959,0.19355372,41632,0.127685707,0.16299352,0.189300238
3597,9234,0.099519742,40499,0.124210786,0.038453853,0.173411864
3608,10592,0.114155633,46406,0.142327606,0.057837792,0.256247371
3610,8504,0.091652143,42267,0.129633257,0.028033915,0.19820502
3612,8946,0.096415813,42348,0.129881685,0.034342973,0.199340906
3614,12782,0.13775843,48969,0.15018835,0.089097605,0.292189034
3616,11607,0.125094829,46890,0.143812038,0.072325787,0.263034637
3617,9169,0.098819203,42153,0.129283618,0.03752605,0.196606367
3618,8230,0.088699099,41490,0.127250191,0.02412287,0.187308933
3620,10144,0.109327298,44140,0.135377765,0.05144309,0.224470621
3621,8616,0.092859227,43496,0.133402611,0.02963259,0.21543963
3622,11670,0.125773813,42627,0.13073738,0.073225042,0.203253401
3623,8712,0.09389387,42286,0.12969153,0.031002883,0.198471463
3624,7293,0.07860055,42243,0.129559649,0.010748237,0.197868462
3629,9289,0.100112507,42912,0.131611478,0.039238916,0.207250035
3630,10683,0.115136388,43608,0.133746116,0.059136715,0.217010237
3631,13241,0.142705318,48503,0.148759124,0.095649319,0.285654186
3633,10059,0.108411207,43702,0.134034415,0.05022981,0.218328425
3634,9475,0.102117128,44334,0.135972764,0.041893859,0.227191137
3635,8182,0.088181777,43546,0.133555961,0.023437723,0.216140794
3636,9287,0.100090952,44029,0.135037327,0.039210369,0.222914037
3637,7909,0.085239511,41151,0.126210475,0.019540952,0.182555041
3638,11160,0.120277271,43559,0.133595832,0.06594536,0.216323096
3639,7795,0.084010872,40137,0.123100529,0.017913729,0.168335437
3640,10123,0.109100969,40318,0.123655657,0.051143338,0.17087365
3641,8915,0.096081709,44765,0.137294645,0.033900482,0.23323517
3644,10443,0.11254978,44645,0.136926604,0.055710982,0.231552377
3646,10093,0.108777643,47392,0.145351677,0.050715122,0.270074323
3649,9404,0.101351923,39340,0.120656123,0.040880413,0.157158884
3658,11595,0.124965498,50111,0.153690874,0.072154501,0.308203618
3659,21806,0.235014891,46670,0.143137297,0.217905164,0.259949516
3660,10391,0.111989348,44928,0.137794567,0.05496874,0.235520965
3662,14371,0.154883931,64265,0.197101315,0.111778812,0.506689104
3663,8926,0.096200262,42545,0.130485886,0.034057495,0.202103492
3664,11602,0.125040941,46088,0.141352298,0.072254418,0.251787968
3666,10524,0.11342276,42698,0.130955138,0.056867167,0.204249053
3669,10820,0.11661291,43348,0.132948694,0.061092238,0.213364185
3670,10354,0.11159058,42660,0.130838592,0.054440606,0.203716169
3672,10282,0.110814597,44132,0.135353228,0.053412886,0.224358435
3673,10961,0.118132542,44633,0.1368898,0.063104856,0.231384098
3675,10259,0.110566714,45175,0.138552119,0.053084587,0.238984715
3677,10761,0.115977036,44571,0.136699645,0.060250079,0.230514654
3678,12555,0.13531193,46364,0.142198792,0.085857432,0.255658393
3682,10980,0.118337315,44166,0.135457507,0.06337606,0.224835226
3683,10111,0.108971639,49202,0.150902963,0.050972052,0.295456458
3685,11171,0.120395824,46562,0.14280606,0.066102372,0.258435002
3687,12389,0.13352286,50920,0.156172084,0.083487967,0.31954845
3688,11604,0.125062496,52006,0.159502855,0.072282966,0.334777731
3690,11291,0.121689128,48890,0.149946056,0.067815239,0.291081195
3691,13020,0.140323483,51382,0.157589042,0.09249479,0.326027205
3694,7450,0.080292623,47171,0.144673868,0.012989237,0.266975179
3695,11463,0.123542864,44975,0.137938717,0.070270347,0.236180059
3697,10830,0.116720685,45761,0.140349386,0.061234977,0.247202356
3698,11486,0.123790747,43693,0.134006812,0.070598647,0.218202216
3699,8721,0.093990868,38550,0.118233186,0.031131348,0.146080494
3700,9371,0.100996264,43957,0.134816502,0.040409375,0.221904361
3701,11405,0.122917767,41061,0.125934445,0.069442462,0.181292946
3705,8749,0.094292639,38973,0.119530531,0.031531017,0.15201234
3707,9543,0.10285,43045,0.13201939,0.042864484,0.209115131
3709,8673,0.093473546,36892,0.113148085,0.030446202,0.122829898
3711,10572,0.113940082,46036,0.141192813,0.057552314,0.251058758
3712,10381,0.111881573,44292,0.13584395,0.054826001,0.22660216
3713,7804,0.08410787,39065,0.119812695,0.018042194,0.153302482
3714,11091,0.119533622,43359,0.132982431,0.064960461,0.213518441
3715,10212,0.11006017,43088,0.132151271,0.052413714,0.209718132
3717,11577,0.124771503,43980,0.134887043,0.071897571,0.222226897
3719,11367,0.122508221,43462,0.133298333,0.068900054,0.214962838
3720,9269,0.099896956,43194,0.132476374,0.038953439,0.2112046
3722,10693,0.115244163,40996,0.125735089,0.059279454,0.180381433
3723,10379,0.111860018,41078,0.125986584,0.054797454,0.181531342
3725,12053,0.129901609,43216,0.132543848,0.078691941,0.211513112
3726,9573,0.103173326,32863,0.100791107,0.0432927,0.066330108
3727,7082,0.076326491,36045,0.110550329,0.007736447,0.110952181
3728,8426,0.090811495,40261,0.123480838,0.026920552,0.170074323
3730,11664,0.125709148,44640,0.136911269,0.073139399,0.231482261
3732,10053,0.108346542,41136,0.12616447,0.050144166,0.182344692
3733,8057,0.086834586,40229,0.123382693,0.021653487,0.169625578
3735,9411,0.101427366,40749,0.124977538,0.040980331,0.176917683
3737,10536,0.113552091,44814,0.137444928,0.057038454,0.233922311
3739,11591,0.124922388,36024,0.110485922,0.072097405,0.110657692
3740,9803,0.105652159,40606,0.124538956,0.046575694,0.174912355
3741,10646,0.114737619,41917,0.128559804,0.058608581,0.193296873
3744,10399,0.112075569,38546,0.118220918,0.055082931,0.146024401
3746,10278,0.110771487,45317,0.138987634,0.053355791,0.24097602
3747,12057,0.129944719,46276,0.141928895,0.078749037,0.254424344
3749,14045,0.151370455,49724,0.152503941,0.107125525,0.302776609
3750,10949,0.118003212,51932,0.159275896,0.062933569,0.333740008
3751,20706,0.223159604,44186,0.135518847,0.202203888,0.225115692
3752,11767,0.126819234,53332,0.163569709,0.074609609,0.353372599
3753,12376,0.133382752,56102,0.172065323,0.083302407,0.39221708
3754,12853,0.138523635,55000,0.168685479,0.090111051,0.376763427
3755,11264,0.121398135,48361,0.148323608,0.067429844,0.28366288
3756,12036,0.129718391,53010,0.162582132,0.078449285,0.348857103
3757,13010,0.140215708,52058,0.15966234,0.092352051,0.335506942
3758,11763,0.126776124,53122,0.162925637,0.074552514,0.35042771
3759,17332,0.186796207,53491,0.164057363,0.154043792,0.3556023
3760,14115,0.152124882,56509,0.173313595,0.108124697,0.397924555
3761,15394,0.165909347,51795,0.158855716,0.126380999,0.331818819
3763,11047,0.11905941,49630,0.152215642,0.06433241,0.301458421
3764,12748,0.137391994,52554,0.161183576,0.088612293,0.342462488
3765,14697,0.158397407,53194,0.163146461,0.116432099,0.351437386
3766,14529,0.156586781,55458,0.170090169,0.114034086,0.383186089
3767,13592,0.146488232,55120,0.16905352,0.100659454,0.378446221
3770,19646,0.211735419,50169,0.15386876,0.187073568,0.309016968
3775,15502,0.167073321,52755,0.161800045,0.127922578,0.345281167
3777,11485,0.12377997,47848,0.146750233,0.070584373,0.276468938
3778,6977,0.07519485,37477,0.114942285,0.006237689,0.131033516
3779,7169,0.077264136,31755,0.097392862,0.008978275,0.050792315
3781,12364,0.133253422,52494,0.160999555,0.08313112,0.341621091
3782,14551,0.156823887,53273,0.163388755,0.114348112,0.352545225
3783,12960,0.139676831,52610,0.161355328,0.091638357,0.343247791
3786,17450,0.188067956,63312,0.194178456,0.155728111,0.493324919
3787,15206,0.163883171,57278,0.175672125,0.123697508,0.408708456
3788,17153,0.184867028,58708,0.180057947,0.151488766,0.428761744
3789,16498,0.177807744,60442,0.185376141,0.14213937,0.45307811
3791,14419,0.155401252,57823,0.177343645,0.112463958,0.416351143
3792,15323,0.165144143,59181,0.181508643,0.125367553,0.435394755
3793,11119,0.119835393,47749,0.146446599,0.06536013,0.275080634
3795,13124,0.141444347,43988,0.134911579,0.093979274,0.222339083
3796,11711,0.126215692,50357,0.154445358,0.073810271,0.311653345
3797,10673,0.115028613,45738,0.140278844,0.058993976,0.246879821
3799,9021,0.097224128,42856,0.131439725,0.035413515,0.206464731
3800,18500,0.199384366,43715,0.134074286,0.170715693,0.218510728
3802,10717,0.115502824,49067,0.150488916,0.059622027,0.293563315
3803,9716,0.104714513,46374,0.142229462,0.045333866,0.255798626
3804,18797,0.202585293,54093,0.165903702,0.174955037,0.364044314
3805,11165,0.120331159,50526,0.154963682,0.066016729,0.314023279
3806,15593,0.168054076,56313,0.172712462,0.129221502,0.395175992
3807,16343,0.176137226,56541,0.17341174,0.139926918,0.3983733
3808,19995,0.215496778,56219,0.172424163,0.192055154,0.393857804
3809,13081,0.140980913,53513,0.164124837,0.093365497,0.355910812
3810,10810,0.116505135,49378,0.151442756,0.060949499,0.297924555
3812,13259,0.142899314,49677,0.152359792,0.095906249,0.302117515
3813,11764,0.126786902,50894,0.156092341,0.074566788,0.319183845
3814,11186,0.120557487,49299,0.151200462,0.066316481,0.296816716
3815,12902,0.139051734,50028,0.153436312,0.090810471,0.307039686
3816,10650,0.114780729,46913,0.14388258,0.058665677,0.263357173
3818,11020,0.118768417,47637,0.146103094,0.063947015,0.273510027
3820,13204,0.142306549,50181,0.153905564,0.095121185,0.309185248
3821,13940,0.150238814,49867,0.152942523,0.105626766,0.304781938
3822,12456,0.134244955,49979,0.153286028,0.084444318,0.306352545
3823,14490,0.156166457,52352,0.16056404,0.113477404,0.339629785
3824,14537,0.156673001,54459,0.167026227,0.114148277,0.369176834
3825,13422,0.144656052,53513,0.164124837,0.098232893,0.355910812
3831,13120,0.141401237,48862,0.14986018,0.093922179,0.290688543
3832,10458,0.112711443,40166,0.123189472,0.055925091,0.168742112
3833,8148,0.087815341,43929,0.134730626,0.022952411,0.221511709
3835,13689,0.147533653,45981,0.141024128,0.102044021,0.250287477
3840,13303,0.143373525,53355,0.16364025,0.0965343,0.353695134
3842,13027,0.140398926,52923,0.162315302,0.092594707,0.347637078
3844,15879,0.171136451,60247,0.184778074,0.133303834,0.45034357
3847,11568,0.124674505,53909,0.165339373,0.071769106,0.36146403
3850,15430,0.166297339,56979,0.174755089,0.126894859,0.404515496
3851,15899,0.171352002,56971,0.174730553,0.133589312,0.404403309
3854,19320,0.208221943,65255,0.200137653,0.18242028,0.52057215
3856,17239,0.185793896,61512,0.18865784,0.152716321,0.468083018
3857,13224,0.1425221,51068,0.156626001,0.095406663,0.321623896
3858,11531,0.124275736,50260,0.154147858,0.071240972,0.310293087
3859,12256,0.132089448,49902,0.153049869,0.08158954,0.305272753
3860,12686,0.136723787,52210,0.160128525,0.087727312,0.33763848
3862,13205,0.142317327,54528,0.167237851,0.095135459,0.37014444
3864,8895,0.095866159,41691,0.12786666,0.033615005,0.190127612
3865,9771,0.105307278,46608,0.142947142,0.04611893,0.259080073
3869,16406,0.176816211,60498,0.185547893,0.140826173,0.453863413
3870,12450,0.134180289,53429,0.163867208,0.084358674,0.354732857
3871,12841,0.138394305,50719,0.155555615,0.089939764,0.316729771
3873,12854,0.138534413,53519,0.164143239,0.090125325,0.355994952
3874,58933,0.635152369,48554,0.148915541,0.74785178,0.286369373
3875,10441,0.112528225,45300,0.138935495,0.055682435,0.240737624
3878,12936,0.139418171,45170,0.138536784,0.091295783,0.238914598
3880,11621,0.125245714,43265,0.132694132,0.072525622,0.212200252
3882,10731,0.11565371,45258,0.13880668,0.059821862,0.240148647
3885,8843,0.095305727,42625,0.130731246,0.032872763,0.203225354
3886,11928,0.128554417,47379,0.145311806,0.076907705,0.269892021
3887,6978,0.075205627,40945,0.125578672,0.006251963,0.179666246
3888,11119,0.119835393,43416,0.13315725,0.06536013,0.214317767
3889,6540,0.070485068,30403,0.093246266,0,0.031832843
3890,11859,0.127810767,45727,0.140245107,0.075922807,0.246725564
3891,19371,0.208771597,45798,0.140462865,0.183148249,0.247721217
3892,10252,0.110491271,36619,0.112310792,0.05298467,0.119001543
3895,9315,0.100392723,36802,0.112872055,0.039610037,0.121567803
3896,10597,0.11420952,42548,0.130495087,0.057909161,0.202145562
3898,8734,0.094130976,40709,0.124854858,0.031316909,0.176356752
3900,8751,0.094314194,36139,0.110838628,0.031559565,0.112270369
3902,11431,0.123197983,46804,0.143548276,0.069813583,0.261828636
3903,11767,0.126819234,45443,0.139374077,0.074609609,0.242742953
3904,12991,0.140010935,43856,0.134506734,0.092080847,0.22048801
3909,10467,0.112808441,43436,0.13321859,0.056053556,0.214598233
3910,12090,0.130300377,52032,0.159582597,0.079220075,0.335142336
3911,13143,0.14164912,47783,0.146550877,0.094250478,0.275557425
3912,12647,0.136303463,50188,0.153927033,0.08717063,0.30928341
3913,13835,0.149107173,51122,0.156791619,0.104128008,0.322381153
3915,10965,0.118175652,47081,0.144397837,0.063161952,0.265713084
3916,25517,0.275010317,57581,0.176601429,0.27087556,0.412957509
3918,12178,0.1312488,50510,0.15491461,0.080476177,0.313798906
3919,9128,0.098377324,46844,0.143670956,0.03694082,0.262389567
3920,8734,0.094130976,47586,0.145946677,0.031316909,0.272794839
3921,8944,0.096394258,32235,0.098865026,0.034314425,0.057523489
3922,10720,0.115535157,42122,0.129188541,0.059664849,0.196171645
3923,15473,0.166760772,41921,0.128572072,0.127508636,0.193352966
3925,10423,0.112334229,44831,0.137497068,0.055425505,0.234160707
3926,18308,0.197315079,53145,0.162996178,0.167975106,0.350750245
3927,16002,0.172462088,51823,0.158941592,0.135059522,0.332211471
3928,52864,0.569743519,72407,0.2220729,0.661223558,0.620866639
3929,36866,0.397324542,64907,0.199070334,0.432869908,0.515692049
3930,26561,0.286262062,65447,0.200726519,0.285777499,0.523264619
3931,15028,0.16196477,52491,0.160990354,0.121156756,0.341579021
3933,19871,0.214160364,53129,0.162947106,0.190285192,0.350525873
3934,18036,0.19438359,57556,0.176524753,0.164092609,0.412606927
3936,13696,0.147609096,49300,0.151203529,0.102143938,0.296830739
3937,24384,0.262799372,58096,0.178180938,0.254703246,0.420179498
3938,13412,0.144548276,48508,0.148774459,0.098090154,0.285724302
3939,10747,0.11582615,44775,0.137325315,0.060050244,0.233375403
3940,10728,0.115621377,42537,0.13046135,0.05977904,0.201991306
3941,10830,0.116720685,44032,0.135046528,0.061234977,0.222956107
3942,16984,0.183045625,46556,0.142787658,0.149076479,0.258350862
3943,25241,0.272035718,49973,0.153267626,0.266935967,0.306268406
3944,67601,0.728572027,60234,0.184738203,0.871577836,0.450161268
3945,13182,0.142069444,46075,0.141312426,0.09480716,0.251605665
3950,11049,0.119080965,46042,0.141211215,0.064360958,0.251142897
3951,10007,0.107850776,44073,0.135172275,0.049487567,0.223531062
3953,11764,0.126786902,46355,0.142171189,0.074566788,0.255532183
3954,16258,0.175221136,47019,0.144207683,0.138713637,0.26484364
3956,10572,0.113940082,41147,0.126198207,0.057552314,0.182498948
3957,8807,0.094917736,43672,0.133942404,0.032358903,0.217907727
3958,9125,0.098344991,37091,0.11375842,0.036897999,0.12562053
3959,11744,0.126571351,39612,0.121490349,0.07428131,0.160973216
3960,11499,0.123930855,45024,0.138089,0.070784207,0.2368672
3962,9686,0.104391187,43182,0.13243957,0.04490565,0.21103632
3965,7720,0.083202557,40443,0.124039033,0.016843187,0.17262656
3966,12948,0.139547501,43889,0.134607945,0.09146707,0.220950778
3971,11051,0.11910252,47533,0.145784125,0.064389506,0.272051606
3975,11419,0.123068653,53758,0.164876254,0.069642296,0.359346515
3976,9110,0.098183328,45133,0.138423304,0.03668389,0.238395737
3977,10883,0.117291895,50576,0.155117033,0.061991493,0.314724443
3978,11967,0.128974741,53808,0.165029605,0.077464387,0.360047679
3979,7631,0.082243356,39958,0.122551534,0.015572811,0.16582527
3980,11341,0.122228005,50666,0.155393063,0.068528933,0.315986538
3981,11672,0.125795368,47770,0.146511006,0.07325359,0.275375123
3984,10642,0.114694509,45892,0.140751164,0.058551486,0.249039405
3987,10966,0.11818643,49163,0.150783349,0.063176225,0.29490955
3988,11431,0.123197983,44662,0.136978743,0.069813583,0.231790773
3991,7044,0.075916944,41179,0.126296352,0.007194039,0.182947693
3992,8582,0.092492791,41501,0.127283929,0.029147278,0.187463189
3995,13949,0.150335812,41759,0.128075217,0.105755231,0.191081195
3996,14043,0.1513489,48423,0.148513763,0.107096977,0.284532324
,9278561,,32605059,,,
